ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites,TWA_grouped,CongregantUsers_grouped,LikesACS,State_cleaned,MissingValues,Timeline,state_county,Party,Covid
AARLFA40000A,Realm Inform,Active,,2020-09-10,,Corpus Christi,TX,78405-4122,Nueces,US,Baptist - SBC,Baptist,150,Church,1,2,False,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,TX,0,365 <= days < 650,TX NUECES,REPUBLICAN,False
AARLFA40000B,Realm Connect,Active,,2022-02-17,,Decatur,TX,76234-2274,Wise,US,Baptist - Independent,Baptist,200,Church,5,3,True,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,TX,0,< 1 Yr,TX WISE,REPUBLICAN,False
AARLFA500003,Realm Connect,Active,,2021-08-06,,Garland,TX,75043-2800,Dallas,US,Baptist - SBC,Baptist,3500,Church,,,False,False,False,False,False,False,False,False,False,False,1479 - 7878,N,True,TX,2,< 1 Yr,TX DALLAS,DEMOCRAT,False
AB00FA10000A,Realm Connect,Not Using,Product,2017-03-30,2020-03-02,Matthews,NC,28105-1930,Mecklenburg,US,Non - Denominational,Non - Denominational,,Church,,,False,False,False,False,False,False,False,False,False,False,N,N,False,NC,3,> 1200 days,NC MECKLENBURG,DEMOCRAT,False
AB00FA10000C,Realm Inform,Not Using,Staff change,2019-02-15,2019-04-22,Indian Trail,NC,28079-7567,Union,US,Methodist - UMC,Methodist,650,Church,,,False,False,False,False,False,False,False,False,False,False,< 1479,N,False,NC,2,> 1200 days,NC UNION,REPUBLICAN,False
AC2VTA500003,Realm Inform,Active,,2017-01-03,,Round Rock,TX,78665-9419,Williamson,US,Non - Denominational,Non - Denominational,100,Church,1,0,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,TX,0,> 1200 days,TX WILLIAMSON,DEMOCRAT,False
AC2VTA50000L,Realm Connect,Active,,2017-12-05,,Plano,TX,75074-7011,Collin,US,Non - Denominational,Non - Denominational,400,Church,36,108,False,False,True,True,False,False,True,False,False,False,< 1479,< 256,True,TX,0,> 1200 days,TX COLLIN,REPUBLICAN,False
AC2VTA50000R,Realm Connect,Not Using,Not satisfied with software,2018-12-04,2019-06-04,Bedford,TX,76021-6026,Tarrant,US,Non - Denominational,Non - Denominational,,Church,,,False,False,False,False,False,False,False,False,False,False,N,N,False,TX,3,> 1200 days,TX TARRANT,DEMOCRAT,False
AC2VTA50000S,Realm Connect,Active,,2018-06-29,,Chappell Hill,TX,77426,,US,Baptist - SBC,Baptist,100,Church,14,46,False,False,False,True,False,False,True,False,False,False,< 1479,< 256,True,TX,1,> 1200 days,-1,N,False
AC2VTA50000U,Realm Connect,Active,,2019-01-02,,Needville,TX,77461,,US,Baptist - SBC,Baptist,110,Church,15,35,True,False,False,True,False,False,False,False,False,False,< 1479,< 256,True,TX,1,> 1200 days,-1,N,False
