,Unnamed: 0,City,CongregantUsers,Country,County,DaysOwned,LikesProduct,Deactivated,Denomination,DenominationalGroup,ID,OrganizationClass,PostalCode,Product,Purchased,StaffUsers,State,Status,StatusReason,TWA,Timeline,Unnamed: 0.1.1,UsingAccounting,UsingBackGroundChecks,UsingCheckin,UsingMinistrySmart,UsingMissionInsite,UsingMobileCheckin,UsingOnlineGiving,UsingOpenInvitationModel,UsingPathways,UsingRefreshWebsites,StateCleaned
23,23,Matthews,N,US,Mecklenburg,1891,False,True,Non - Denominational,Non - Denominational,AB00FA10000A,Church,28105-1930,Realm Connect,2017-03-30,,NC,Not Using,Product,,> 1200 days,23,False,False,False,False,False,False,False,False,False,False,NC
24,24,Indian Trail,N,US,Union,1204,False,True,Methodist - UMC,Methodist,AB00FA10000C,Church,28079-7567,Realm Inform,2019-02-15,,NC,Not Using,Staff change,650.0,> 1200 days,24,False,False,False,False,False,False,False,False,False,False,NC
25,25,Round Rock,CU < 50,US,Williamson,1977,True,False,Non - Denominational,Non - Denominational,AC2VTA500003,Church,78665-9419,Realm Inform,2017-01-03,1.0,TX,Active,,100.0,> 1200 days,25,False,False,False,False,False,False,False,False,False,False,TX
26,26,Plano,50 <= CU < 200,US,Collin,1641,True,False,Non - Denominational,Non - Denominational,AC2VTA50000L,Church,75074-7011,Realm Connect,2017-12-05,36.0,TX,Active,,400.0,> 1200 days,26,True,False,True,False,False,False,True,False,False,False,TX
27,27,Bedford,N,US,Tarrant,1277,False,True,Non - Denominational,Non - Denominational,AC2VTA50000R,Church,76021-6026,Realm Connect,2018-12-04,,TX,Not Using,Not satisfied with software,,> 1200 days,27,False,False,False,False,False,False,False,False,False,False,TX
28,28,Chappell Hill,CU < 50,US,,1435,True,False,Baptist - SBC,Baptist,AC2VTA50000S,Church,77426,Realm Connect,2018-06-29,14.0,TX,Active,,100.0,> 1200 days,28,False,False,True,False,False,False,True,False,False,False,TX
29,29,Needville,CU < 50,US,,1248,True,False,Baptist - SBC,Baptist,AC2VTA50000U,Church,77461,Realm Connect,2019-01-02,15.0,TX,Active,,110.0,> 1200 days,29,False,False,False,False,False,False,True,True,False,False,TX
30,30,McKinney,50 <= CU < 200,US,Collin,1397,True,False,Episcopal,Episcopal and Anglican,AC2VTA500018,Church,75070-9601,Realm Connect,2018-08-06,19.0,TX,Active,,725.0,> 1200 days,30,True,False,True,False,False,False,False,False,True,False,TX
31,31,Texarkana,50 <= CU < 200,US,Bowie,1409,True,False,Non - Denominational,Non - Denominational,AC2VTA50001V,Church,75503-5068,Realm Connect,2018-07-25,8.0,TX,Active,,1150.0,> 1200 days,31,True,False,True,False,False,True,True,False,False,False,TX
32,32,Burleson,N,US,Tarrant,249,True,False,Baptist - SBC,Baptist,AC2VTA80000G,Church,76028-6653,Realm Connect,2021-09-27,,TX,Active,,400.0,< 1 Yr,32,False,False,False,False,False,False,False,False,False,False,TX
33,33,Scurry,50 <= CU < 200,US,Kaufman,1557,True,False,Baptist - SBC,Baptist,AC2VTA80000H,Church,75158-2952,Realm Connect,2018-02-27,14.0,TX,Active,,300.0,> 1200 days,33,False,False,True,False,False,False,False,True,False,False,TX
34,34,Dallas,CU < 50,US,Dallas,1311,True,False,Presbyterian,Presbyterian,AC2VTA80000W,Church,75228-7125,Realm Connect,2018-10-31,9.0,TX,Active,,100.0,> 1200 days,34,True,False,False,False,False,False,True,False,False,False,TX
35,35,San Antonio,CU < 50,US,Bexar,1304,True,False,Methodist - UMC,Methodist,AC2VTA80001E,Church,78240-3163,Realm Connect,2018-11-07,8.0,TX,Active,,214.0,> 1200 days,35,True,False,False,False,True,False,True,False,False,False,TX
36,36,Midland,CU < 50,US,Midland,1131,True,False,Church of Christ,Church of Christ,AC2VTAA00009,Church,79701-4225,Realm Connect,2019-04-29,1.0,TX,Active,,200.0,820 <= days < 1200,36,False,False,False,False,False,False,False,False,False,False,TX
37,37,Garland,CU < 50,US,Dallas,837,True,False,Baptist - Independent,Baptist,AC2VTAC00003,Church,75042-5440,Realm Connect,2020-02-17,4.0,TX,Active,,200.0,820 <= days < 1200,37,True,False,False,False,False,False,True,True,False,False,TX
38,38,Macon,50 <= CU < 200,US,Bibb,1218,True,False,Presbyterian - PCA,Presbyterian,AC42TA100002,Church,31210-1229,Realm Connect,2019-02-01,17.0,GA,Active,,,> 1200 days,38,True,False,False,False,False,False,True,False,False,False,GA
39,39,Macon,CU < 50,US,Bibb,857,True,False,Baptist,Baptist,AC42TA10020O,Church,31206-2117,Realm Inform,2020-01-28,3.0,GA,Active,,0.0,820 <= days < 1200,39,True,False,False,False,False,False,True,True,False,False,GA
40,40,Watkinsville,50 <= CU < 200,US,Oconee,1460,True,False,Presbyterian - PCUSA,Presbyterian,AC42TA10023U,Church,30677-4816,Realm Connect,2018-06-04,12.0,GA,Active,,307.0,> 1200 days,40,True,False,False,False,False,False,True,False,False,False,GA
41,41,Evans,50 <= CU < 200,US,Columbia,1669,True,False,Methodist - UMC,Methodist,AC42TA1005NS,Church,30809-6127,Realm Connect,2017-11-07,16.0,GA,Active,,60.0,> 1200 days,41,True,False,True,False,True,False,True,False,False,False,GA
42,42,Decatur,200 <= CU,US,DeKalb,1190,True,False,Presbyterian - EPC,Presbyterian,ACACKA100000,Church,30030-4148,Realm Connect,2019-03-01,12.0,GA,Active,,50.0,820 <= days < 1200,42,True,False,True,False,False,False,True,True,False,False,GA
43,43,Cairo,N,US,Grady,59,True,False,Baptist - SBC,Baptist,ACACKA1000H0,Church,39828-6201,Realm Inform,2022-04-05,,GA,Active,,150.0,< 1 Yr,43,False,False,False,False,True,False,False,False,False,False,GA
44,44,Atlanta,CU < 50,US,Fulton,722,True,False,Presbyterian - PCUSA,Presbyterian,ACACKA1000I1,Church,30318-7413,Realm Inform,2020-06-11,6.0,GA,Active,,,Covid Purchase,44,True,False,False,True,True,False,True,False,False,False,GA
45,45,Mableton,CU < 50,US,,1505,True,False,Baptist - Missionary,Baptist,ACACKA1000QP,Church,30126,Realm Connect,2018-04-20,9.0,GA,Active,,1000.0,> 1200 days,45,False,False,False,False,False,False,True,False,False,False,GA
46,46,Atlanta,CU < 50,US,Fulton,756,True,False,Church of Christ,Church of Christ,ACACKA1000QU,Church,30314-3340,Realm Connect,2020-05-08,7.0,GA,Active,,500.0,Covid Purchase,46,False,False,False,False,False,False,False,False,False,False,GA
47,47,Atlanta,N,US,Fulton,1739,False,True,Non - Denominational,Non - Denominational,ACACKA1000RA,Church,30310-3042,Realm Inform,2017-08-29,,GA,Not Using,Couldn't afford/Rates too high,,> 1200 days,47,False,False,False,False,False,False,False,False,False,False,GA
48,48,Brookhaven,N,US,DeKalb,220,True,False,Unitarian,Other,ACACKA1000RG,Church,30329-2121,Realm Multiply,2021-10-26,,GA,Active,,700.0,< 1 Yr,48,True,False,False,False,False,False,False,False,False,False,GA
49,49,Austell,200 <= CU,US,Cobb,1583,True,False,Inter-Denominational,Non - Denominational,ACACKA1000RO,Church,30168-7876,Realm Multiply,2018-02-01,45.0,GA,Active,,10000.0,> 1200 days,49,False,False,False,False,False,False,True,True,True,False,GA
50,50,Tucker,CU < 50,US,DeKalb,45,True,False,Baptist,Baptist,ACACKA1001E6,Church,30084-6499,Realm Multiply,2022-04-19,1.0,GA,Active,,800.0,< 1 Yr,50,True,False,False,False,False,False,False,False,False,False,GA
51,51,Atlanta,200 <= CU,US,Fulton,1162,True,False,Methodist - UMC,Methodist,ACACKA1001F5,Church,30311-3616,Realm Connect,2019-03-29,14.0,GA,Active,,1500.0,820 <= days < 1200,51,True,False,False,False,True,False,True,False,False,False,GA
